id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,date_year
33352,Astor Hotel,Astor Hotel,,,,,,,1915-0091,1915-01-01,Astor Hotel,,,under review,1,10,1915.0
33353,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0092,1915-01-01,Waldorf Astoria,,,under review,9,23,1915.0
33354,Astor Hotel,Astor Hotel,,,,,,,1915-0093,1915-01-01,Astor Hotel,,,under review,1,11,1915.0
33355,Astor Hotel,Astor Hotel,,,,,,,1915-0094,1915-01-01,Astor Hotel,,,complete,1,14,1915.0
33356,Astor Hotel,Astor Hotel,,,,,,,1915-0095,1915-01-01,Astor Hotel,,,complete,5,22,1915.0
33357,Restaurant name and/or location not given],Restaurant name and/or location not given],,,,,,,1915-0096,1915-01-01,Restaurant name and/or location not given],,,complete,2,15,1915.0
33358,Hotel Marie Antoinette,Hotel Marie Antoinette,,,,,,,1915-0097,1915-01-01,Hotel Marie Antoinette,,,complete,1,13,1915.0
33359,Pennsylvania Railroad,Pennsylvania Railroad,,,,,,,1915-0098,1915-01-01,Pennsylvania Railroad,Dollars,$,complete,4,70,1915.0
33360,Masonic Building,Masonic Building,,,,,,,1915-0099,1915-01-01,Masonic Building,,,under review,5,18,1915.0
33361,Broadway Central Hotel,Broadway Central Hotel,,,,,,,1915-0100,1915-01-01,Broadway Central Hotel,Dollars,$,complete,3,338,1915.0
33362,Palmetto Limited,Palmetto Limited,,,,,,,1915-0101,1915-01-01,Palmetto Limited,Dollars,$,complete,3,89,1915.0
33363,Palmetto Limited,Palmetto Limited,,,,,,,1915-0102,1915-01-01,Palmetto Limited,Dollars,$,under review,3,88,1915.0
33364,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0103,1915-01-01,Waldorf Astoria,,,under review,2,12,1915.0
33365,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0104,1915-01-01,Waldorf Astoria,,,under review,8,24,1915.0
33366,The Gregorian,The Gregorian,,,,,,,1915-0105,1915-01-01,The Gregorian,,,under review,1,21,1915.0
33367,Union Club,Union Club,,,,,,,1915-0106,1915-01-01,Union Club,,,complete,2,17,1915.0
33369,Hotel St. Andrew,Hotel St. Andrew,,,,,,,1915-0108,1915-01-01,Hotel St. Andrew,Dollars,$,complete,2,195,1915.0
33370,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0109,1915-01-01,Waldorf Astoria,,,under review,4,22,1915.0
33371,Hotel St. Andrew,Hotel St. Andrew,,,,,,,1915-0110,1915-01-01,Hotel St. Andrew,Dollars,$,under review,1,12,1915.0
33372,Park Avenue Hotel,Park Avenue Hotel,,,,,,,1915-0111,1915-01-01,Park Avenue Hotel,,,complete,6,17,1915.0
33373,Hotel Astor,Hotel Astor,,,,,,,1915-0112,1915-01-01,Hotel Astor,,,complete,3,17,1915.0
